Date,Open,High,Low,Close,Adj Close,Volume
2009-03-01,38.994999,39.277000,37.749001,38.993999,38.993999,0
2009-04-01,39.326000,39.562000,38.598999,39.007000,39.007000,0
2009-05-01,39.051998,39.180000,38.570000,38.962002,38.962002,0
2009-06-01,39.064999,39.570000,38.650002,39.032001,39.032001,0
2009-07-01,39.036999,39.375000,38.852001,39.054001,39.054001,0
2009-08-01,39.035999,39.563000,38.692001,39.044998,39.044998,0
2009-09-01,38.889999,39.368999,38.839001,39.078999,39.078999,0
2009-10-01,39.076000,39.278000,38.772999,39.273998,39.273998,0
2009-11-01,39.088001,39.147999,38.740002,39.104000,39.104000,0
2009-12-01,39.085999,39.613998,39.028000,39.037998,39.037998,0
2010-01-01,39.355000,39.360001,38.849998,39.304001,39.304001,0
2010-02-01,39.039001,39.307999,38.800999,38.800999,38.800999,0
2010-03-01,38.987000,39.201000,38.827000,39.002998,39.002998,0
2010-04-01,39.025002,39.366001,38.794998,38.995998,38.995998,0
2010-05-01,39.037998,39.334999,38.162998,38.922001,38.922001,0
2010-06-01,38.867001,39.481998,38.783001,38.943001,38.943001,0
2010-07-01,38.944000,39.205002,38.362000,38.987999,38.987999,0
2010-08-01,38.783001,39.193001,38.783001,38.964001,38.964001,0
2010-09-01,38.970001,39.028999,38.936001,39.001999,39.001999,0
2010-10-01,38.998001,39.168999,37.472000,39.047001,39.047001,0
2010-11-01,39.054001,39.348000,38.715000,39.012001,39.012001,0
2010-12-01,39.348000,39.348000,38.875999,38.991001,38.991001,0
2011-01-01,38.997002,39.620998,38.487999,39.618999,39.618999,0
2011-02-01,39.617001,39.647999,39.472000,39.620998,39.620998,0
2011-03-01,39.645000,39.923000,39.452000,39.636002,39.636002,0
2011-04-01,39.743999,39.846001,39.203999,39.786999,39.786999,0
2011-05-01,39.674000,40.389999,39.456001,39.661999,39.661999,0
2011-06-01,39.666000,39.992001,39.257000,39.546001,39.546001,0
2011-07-01,39.514999,40.151001,39.257999,39.257999,39.257999,0
2011-08-01,39.657001,39.952000,39.166000,39.652000,39.652000,0
2011-09-01,39.660000,40.355999,39.437000,39.634998,39.634998,0
2011-10-01,39.595001,39.805000,39.103001,39.652000,39.652000,0
2011-11-01,40.348999,40.348999,39.285000,39.588001,39.588001,0
2011-12-01,39.171001,40.000000,39.171001,39.509998,39.509998,0
2012-01-01,39.584000,39.886002,39.340000,39.570999,39.570999,0
2012-02-01,39.570999,40.223000,39.487999,40.223000,40.223000,0
2012-03-01,40.243999,40.369999,39.928001,40.217999,40.217999,0
2012-04-01,40.236000,41.061001,40.153999,40.995998,40.995998,0
2012-05-01,40.889000,41.501999,40.853001,41.282001,41.282001,0
2012-06-01,41.160999,41.598000,40.800999,40.981998,40.981998,0
2012-07-01,41.120998,41.667999,40.941002,41.182999,41.182999,0
2012-08-01,41.241001,41.530998,40.902000,41.278000,41.278000,0
2012-09-01,41.273998,41.584000,40.852001,41.583000,41.583000,0
2012-10-01,41.372002,41.731998,41.139999,41.543999,41.543999,0
2012-11-01,41.382999,41.608002,41.132999,41.443001,41.443001,0
2012-12-01,41.439999,41.683998,41.158001,41.348000,41.348000,0
2013-01-01,41.290001,41.758999,40.838001,41.676998,41.676998,0
2013-02-01,41.749001,42.396000,41.596001,41.936001,41.936001,0
2013-03-01,41.761002,42.172001,41.441002,41.698002,41.698002,0
2013-04-01,41.698002,42.075001,41.308998,41.449001,41.449001,0
2013-05-01,41.738998,42.105999,41.487000,41.598999,41.598999,0
2013-06-01,41.589001,42.584000,41.181000,41.619999,41.619999,0
2013-07-01,41.610001,42.877998,41.358002,42.437000,42.437000,0
2013-08-01,42.582001,42.713001,42.132000,42.647999,42.647999,0
2013-09-01,42.265999,42.902000,41.756001,42.582001,42.582001,0
2013-10-01,42.338001,42.841000,41.550999,42.841000,42.841000,0
2013-11-01,42.659000,42.939999,39.125000,42.817001,42.817001,0
2013-12-01,42.817001,43.083000,39.129002,42.925999,42.925999,0
2014-01-01,43.000000,43.000000,40.578999,40.779999,40.779999,0
2014-02-01,40.764000,43.250000,38.081001,43.102001,43.102001,0
2014-03-01,43.090000,45.436001,41.926998,43.605999,43.605999,0
2014-04-01,43.678001,44.283001,43.637001,44.117001,44.117001,0
2014-05-01,43.990002,44.485001,43.937000,44.214001,44.214001,0
2014-06-01,44.153000,44.515999,43.591000,43.716000,43.716000,0
2014-07-01,43.580002,44.652000,43.580002,43.706001,43.706001,0
2014-08-01,43.702000,44.636002,0.090909,43.875999,43.875999,0
2014-09-01,43.887001,44.356998,43.501999,43.532001,43.532001,0
2014-10-01,43.533001,44.035000,42.997002,43.855999,43.855999,0
2014-11-01,43.855999,45.967999,43.481998,45.530998,45.530998,0
2014-12-01,45.590000,45.889999,45.028999,45.432999,45.432999,0
2015-01-01,45.640999,46.455002,45.097000,45.556000,45.556000,0
2015-02-01,45.445999,45.929001,44.890999,45.341000,45.341000,0
2015-03-01,45.581001,46.973999,44.069000,46.525002,46.525002,0
2015-04-01,46.511002,46.942001,45.796001,46.562000,46.562000,0
2015-05-01,46.480999,47.386002,45.698002,46.514999,46.514999,0
2015-06-01,46.539001,51.201000,45.952999,51.201000,51.201000,0
2015-07-01,51.407001,56.435001,51.369999,56.140999,56.140999,0
2015-08-01,56.125000,56.610001,50.932999,53.216999,53.216999,0
2015-09-01,53.133999,53.686001,52.028000,53.212002,53.212002,0
2015-10-01,53.455002,54.412998,52.500999,53.598000,53.598000,0
2015-11-01,53.574001,54.806000,52.688999,54.806000,54.806000,0
2015-12-01,54.845001,56.377998,53.483002,56.303001,56.303001,0
2016-01-01,56.303001,59.208000,55.867001,59.208000,59.208000,0
2016-02-01,59.171001,60.988998,57.750999,60.965000,60.965000,0
2016-03-01,60.993000,61.595001,59.933998,61.472000,61.472000,0
2016-04-01,61.481998,61.814999,61.067001,61.194000,61.194000,0
2016-05-01,61.110001,62.192001,61.110001,61.869999,61.869999,0
2016-06-01,61.985001,62.658001,60.847000,62.035000,62.035000,0
2016-07-01,62.021999,63.160000,62.021999,62.284000,62.284000,0
2016-08-01,62.310001,64.341003,62.310001,64.049004,64.049004,0
2016-09-01,64.044998,64.768997,63.540001,64.002998,64.002998,0
2016-10-01,64.053001,64.583000,63.422001,63.665001,63.665001,0
2016-11-01,63.681999,64.693001,63.298000,63.307999,63.307999,0
2016-12-01,63.619999,67.078003,62.965000,66.276001,66.276001,0
2017-01-01,66.276001,67.117996,64.713997,66.464996,66.464996,0
2017-02-01,66.452003,66.972000,65.431999,65.800003,65.800003,0
2017-03-01,66.037003,68.199997,63.904999,67.804001,67.804001,0
2017-04-01,67.719002,68.436996,66.281998,68.436996,68.436996,0
2017-05-01,68.375999,68.402000,67.430000,67.503998,67.503998,0
2017-06-01,67.513000,67.692001,59.140999,61.180000,61.180000,0
2017-07-01,61.187000,61.662998,60.646000,60.646000,60.646000,0
2017-08-01,60.745998,65.848999,59.610001,61.897999,61.897999,0
2017-09-01,61.936001,62.867001,61.936001,62.610001,62.610001,0
2017-10-01,62.264999,63.455002,61.868000,62.244999,62.244999,0
2017-11-01,62.289001,63.089001,61.939999,62.216000,62.216000,0
2017-12-01,62.132000,63.551998,62.132000,62.985001,62.985001,0
2018-01-01,62.986000,64.904999,62.743000,63.054001,63.054001,0
2018-02-01,63.303001,63.928001,62.667000,63.403999,63.403999,0
2018-03-01,63.550999,64.209999,62.998001,63.783001,63.783001,0
2018-04-01,63.733002,64.577003,63.432999,63.875999,63.875999,0
2018-05-01,63.780998,64.569000,63.215000,64.203003,64.203003,0
2018-06-01,64.085999,66.800003,63.459999,65.614998,65.614998,0
2018-07-01,65.751999,66.984001,64.032997,66.124001,66.124001,0
2018-08-01,66.197998,68.777000,65.471001,68.148003,68.148003,0
2018-09-01,68.330002,69.403000,67.906998,68.968002,68.968002,0
2018-10-01,68.806999,71.027000,68.746002,70.959000,70.959000,0
2018-11-01,71.103996,72.987999,69.903999,72.787003,72.787003,0
2018-12-01,72.666000,76.884003,72.666000,76.455002,76.455002,0
2019-01-01,76.254997,77.896004,76.078003,77.602997,77.602997,0
2019-02-01,77.764999,82.375000,77.082001,81.433998,81.433998,0
2019-03-01,82.680000,83.299004,81.693001,82.941002,82.941002,0
2019-04-01,83.353996,85.246002,83.003998,84.070999,84.070999,0
2019-05-01,85.000999,90.663002,85.000999,90.323997,90.323997,0
2019-06-01,90.394997,92.958000,89.805000,92.897003,92.897003,0
2019-07-01,93.053001,93.642998,92.677002,93.543999,93.543999,0
2019-08-01,94.265999,94.612999,92.887001,94.476997,94.476997,0
2019-09-01,94.583000,95.164001,93.537003,94.221001,94.221001,0
2019-10-01,95.121002,96.187943,94.330811,96.105247,96.105247,0
2019-11-01,96.169830,97.039978,96.033363,96.201439,96.201439,0
2019-12-01,96.033363,96.574867,93.823463,94.169792,94.169792,0
2020-01-01,94.649300,98.621750,93.873466,98.380539,98.380539,0
2020-02-01,98.321220,100.105309,87.451637,88.110802,88.110802,0
2020-03-01,87.771202,94.910156,86.987389,94.444542,94.444542,0
2020-04-01,93.452019,104.401558,93.090012,96.921448,96.921448,0
2020-05-01,97.831833,111.014008,97.831833,105.360352,105.360352,0
2020-06-01,105.797623,109.456070,105.797623,109.063988,109.063988,0
2020-07-01,108.300911,110.680222,108.086746,110.172783,110.172783,0
2020-08-01,109.101181,112.366829,109.101181,111.179161,111.179161,0
2020-09-01,111.145348,112.440910,104.390427,104.674927,104.674927,0
2020-10-01,68.487099,68.487099,61.390381,62.546700,62.546700,0
2020-11-01,62.472824,65.345627,61.950947,64.888329,64.888329,0
2020-12-01,65.541946,72.293388,64.770287,71.860664,71.860664,0
2021-01-01,72.175690,73.447708,70.057007,71.633888,71.633888,0
2021-02-01,71.715103,75.201385,71.016411,74.689598,74.689598,0
2021-03-01,75.349129,79.406113,74.538467,79.147804,79.147804,0
2021-04-01,79.444695,85.485115,78.629951,84.854134,84.854134,0
2021-05-01,84.994530,90.985718,84.642799,89.607414,89.607414,0
2021-06-01,89.463615,93.340103,88.516701,92.686592,92.686592,0
2021-07-01,90.661552,95.161484,89.867676,95.131935,95.131935,0
2021-08-01,95.061882,98.670471,92.600662,97.105392,97.105392,0
2021-09-01,96.467232,98.801682,95.610847,96.632889,96.632889,0
2021-09-18,95.000000,95.000000,95.000000,95.000000,95.000000,0
